group,domain,cells,source_folds,mae_pp,rmse_pp,p95_ae_pp
B,CS2_low_SOC_RPT_0.22A,2,6,9.489010819485083,11.590171688701725,20.097009241580963
B,CX2_alternating_pulse_full_reference,1,6,24.66734211161023,28.184127961213463,50.132693499326706
B,PL_full_SOC_0.5C,2,6,8.820614948999916,10.641504352363848,19.133792966604233
B,PL_full_SOC_2C,2,6,11.966132774869509,15.042769201721553,30.155145823955532
B1,CS2_low_SOC_RPT_0.22A,2,6,9.220960368022377,11.394326765604838,19.823121676842373
B1,CX2_alternating_pulse_full_reference,1,6,24.224651756790877,27.796591971858437,49.68930646777153
B1,PL_full_SOC_0.5C,2,6,8.726370000218637,10.56299437620757,19.039786010980606
B1,PL_full_SOC_2C,2,6,13.125632072704619,16.089160907413962,31.56938920418449
B12,CS2_low_SOC_RPT_0.22A,2,6,8.900913033188344,11.099830498543966,19.40094099086426
B12,CX2_alternating_pulse_full_reference,1,6,24.13379072775415,27.708382588410085,49.58473262920355
B12,PL_full_SOC_0.5C,2,6,8.462290511664103,10.329751994430008,18.732513581051645
B12,PL_full_SOC_2C,2,6,13.916850736875844,16.80765173689279,32.53913346248904
B123,CS2_low_SOC_RPT_0.22A,2,6,8.85589028432233,11.049805099677592,19.312402560248458
B123,CX2_alternating_pulse_full_reference,1,6,24.011116804715126,27.59490280059651,49.45204770311745
B123,PL_full_SOC_0.5C,2,6,8.363959212971148,10.247449176185505,18.632206962832097
B123,PL_full_SOC_2C,2,6,13.893904833854316,16.79364791767401,32.55556424333364
B1234,CS2_low_SOC_RPT_0.22A,2,6,8.864805477312123,11.058979313122544,19.326085168981553
B1234,CX2_alternating_pulse_full_reference,1,6,24.015610422760275,27.599111677737156,49.45697586750051
B1234,PL_full_SOC_0.5C,2,6,8.374374850685271,10.25659525710651,18.644360641505198
B1234,PL_full_SOC_2C,2,6,13.872136279251798,16.773374531680005,32.52771352878095
