dataset,domain,group,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
MATR,b2,B,3.938321472735929,5.241925723615247,10.662644439846227,7.885550234125818,8.38327359270747,12.021808212743965
MATR,b2,B1,3.1569673826867652,4.246963232210329,8.730666536915294,6.890698905589323,7.325493811712855,10.400855117153984
MATR,b2,B2,3.698190414602951,4.514497590737749,8.419652236249215,6.266615649741121,6.623327343925842,9.325429171831818
MATR,b2,B12,3.2575637524108156,4.155200503451881,8.29240420843111,6.3638567703815525,6.704646809806007,9.311280634610226
MATR,b2,B3,3.910012422978771,5.173346131802603,10.476355670355021,7.765325018491475,8.238959896472975,11.749028161630397
MATR,b2,B13,3.1955961826015047,4.252989188139606,8.653611304367894,6.833670415670424,7.244652758506233,10.218056964349545
MATR,b2,B23,3.755011469859131,4.570273839928027,8.483289590960496,6.316877489857871,6.663612198487528,9.333737845539979
MATR,b2,B123,3.3342583927194918,4.220641997861258,8.343769657558326,6.411690983362738,6.739098302349278,9.29684653051169
MATR,b2,B4,3.938321472735929,5.241925723615247,10.662644439846227,7.885550234125818,8.38327359270747,12.021808212743965
MATR,b2,B14,3.1569673826867652,4.246963232210329,8.730666536915294,6.890698905589323,7.325493811712855,10.400855117153984
MATR,b2,B24,3.698190414602951,4.514497590737749,8.419652236249215,6.266615649741121,6.623327343925842,9.325429171831818
MATR,b2,B124,3.2575637524108156,4.155200503451881,8.29240420843111,6.3638567703815525,6.704646809806007,9.311280634610226
MATR,b2,B34,3.910012422978771,5.173346131802603,10.476355670355021,7.765325018491475,8.238959896472975,11.749028161630397
MATR,b2,B134,3.1955961826015047,4.252989188139606,8.653611304367894,6.833670415670424,7.244652758506233,10.218056964349545
MATR,b2,B234,3.755011469859131,4.570273839928027,8.483289590960496,6.316877489857871,6.663612198487528,9.333737845539979
MATR,b2,B1234,3.3342583927194918,4.220641997861258,8.343769657558326,6.411690983362738,6.739098302349278,9.29684653051169
MATR,b4,B,2.647704663359945,3.839040478850245,7.999846535551704,4.749804895448134,5.977407018324512,11.145558064353056
MATR,b4,B1,2.127780879307349,3.325494669126117,7.499098484609779,5.133558974970735,6.1209980174890335,10.568273675988515
MATR,b4,B2,1.8308560902005457,2.4865330629752425,5.186733527195425,3.121720404705231,3.7528137007502815,6.3334805810767385
MATR,b4,B12,1.7884663769950069,2.451090714007974,5.1946237599465,3.233460284365,3.8397583972391116,6.3667236516120855
MATR,b4,B3,2.647704663359945,3.839040478850245,7.999846535551704,4.749804895448134,5.977407018324512,11.145558064353056
MATR,b4,B13,2.127780879307349,3.325494669126117,7.499098484609779,5.133558974970735,6.1209980174890335,10.568273675988515
