dataset,group,cells,domains,points,low_cells,low_points,low_domains,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
XJTU,B,55,6,13407,55,1297,6,3.011538768507012,3.8270559760611955,7.230999424484278,6.2969412302941175,6.864385747099142,9.854869528903244
XJTU,B1,55,6,13407,55,1297,6,2.9224387983254316,3.7282460175844054,7.212394399545052,6.72734249032463,7.239203255704279,10.059312644780258
XJTU,B2,55,6,13407,55,1297,6,2.936604714727192,3.6885219366866675,7.061936910409792,6.147489553999374,6.565385637699337,9.032508174742913
XJTU,B3,55,6,13407,55,1297,6,2.947970400786032,3.716642581378803,6.962899091509019,6.080291924399815,6.597763985186231,9.351047224261764
XJTU,B4,55,6,13407,55,1297,6,3.0067132658510354,3.8056550320055025,7.16915368250649,6.263617859180674,6.8071594371999815,9.708410645624227
XJTU,B12,55,6,13407,55,1297,6,2.656696458890733,3.3496140232250213,6.371277260808374,5.854285990358757,6.279387692359759,8.689840579352769
XJTU,B13,55,6,13407,55,1297,6,2.832528112316986,3.5723409497487193,6.80413726995321,6.340196668355172,6.828857523573959,9.475942620878493
XJTU,B14,55,6,13407,55,1297,6,2.884038069771187,3.6648125477961018,7.063246049771673,6.591376933662566,7.089008171333211,9.835438680201596
XJTU,B23,55,6,13407,55,1297,6,2.903303976293928,3.624802617055863,6.873810952363878,6.063511859335713,6.45003779175224,8.817675179377192
XJTU,B24,55,6,13407,55,1297,6,2.9164869609343733,3.6560049708186817,6.968685248816978,6.150897061251906,6.556447245479091,8.993674343077783
XJTU,B34,55,6,13407,55,1297,6,2.9460487249420155,3.7012458703860873,6.907262740890306,6.05385375588213,6.558912095376797,9.259591701711859
XJTU,B123,55,6,13407,55,1297,6,2.645903491119178,3.306748254191419,6.270075949399074,5.749257140675354,6.157935919064534,8.498656612750883
XJTU,B124,55,6,13407,55,1297,6,2.640271843506427,3.3198087398171077,6.297620245485387,5.820577756835856,6.239395217182094,8.63301397112573
XJTU,B134,55,6,13407,55,1297,6,2.8013921990294612,3.5220711431829024,6.685172416632265,6.221937871503922,6.702147980576829,9.305178651183978
XJTU,B234,55,6,13407,55,1297,6,2.8913129412157006,3.5985641556384516,6.800032773887174,6.067727038039373,6.443535688135142,8.791158187814984
XJTU,B1234,55,6,13407,55,1297,6,2.637574820161472,3.2840518785382398,6.206306310275445,5.72600741840715,6.129028827020666,8.443142085655232
MATR,B,180,4,150665,179,20010,4,2.6862495902500902,3.621184371582492,7.218171769850302,5.257102589787836,5.862517539467001,9.090782697193815
MATR,B1,180,4,150665,179,20010,4,2.1837393489517964,3.1234037930305707,6.684061301024408,5.3075600545833375,5.789540234656458,8.567165225754703
MATR,B2,180,4,150665,179,20010,4,2.1611248667437564,2.8884886094726006,5.867448161095073,4.462671399496968,4.822587192822166,6.894960193390614
MATR,B3,180,4,150665,179,20010,4,2.5715469488041878,3.466125714009769,6.9091264142982185,4.993056411567479,5.571989981703603,8.695483352416774
MATR,B4,180,4,150665,179,20010,4,2.6115996425780588,3.526990468794844,7.055081065442713,5.132460091743768,5.714566411950727,8.839609192489087
MATR,B12,180,4,150665,179,20010,4,1.9853111601217919,2.6865948978888983,5.569067771479617,4.290374907033376,4.607343448138965,6.5242188478037715
MATR,B13,180,4,150665,179,20010,4,2.104127183180302,2.997914441735725,6.377159483769021,5.01867746106649,5.486142140343135,8.18947266642307
MATR,B14,180,4,150665,179,20010,4,2.1332125361997303,3.0489942120911246,6.501588526594438,5.157499334191901,5.626350083260592,8.321235091130387
MATR,B23,180,4,150665,179,20010,4,2.1171698751261525,2.813693196599794,5.66284384745882,4.268477793952006,4.623830691572412,6.670151644183446
MATR,B24,180,4,150665,179,20010,4,2.1152876900434743,2.8146828542734825,5.67650431563306,4.3192980343382406,4.669749297660702,6.687696830785227
MATR,B34,180,4,150665,179,20010,4,2.5090911143192987,3.3877604108538955,6.771773562720379,4.890951880806435,5.45020908350154,8.482555209262292
MATR,B123,180,4,150665,179,20010,4,1.9513851550470225,2.6258493586606333,5.385042910626108,4.115260920191082,4.4322179389463665,6.324385892251245
MATR,B124,180,4,150665,179,20010,4,1.9466793700922154,2.627411061565256,5.414234032766821,4.167835962849237,4.478283409558253,6.349730135421231
MATR,B134,180,4,150665,179,20010,4,2.0635171394900125,2.937110576321584,6.229631500913706,4.893509819401807,5.350556800833024,7.980146464723411
MATR,B234,180,4,150665,179,20010,4,2.0792031543850373,2.7520094774082158,5.501842709911871,4.150866876409424,4.496806784504761,6.4904023482104884
MATR,B1234,180,4,150665,179,20010,4,1.919921667670538,2.577304604882687,5.258278574056611,4.0161082331494065,4.32695388015623,6.186380807054315
Tongji,B,130,11,57733,112,38474,11,6.669480265471828,8.234492223007413,15.231238431925595,8.242745244363329,9.374148672193316,15.478614452490824
Tongji,B1,130,11,57733,112,38474,11,5.3881354923391305,6.495106041581729,11.330892477372897,6.855588273348428,7.669479766639255,11.964720721699969
Tongji,B2,130,11,57733,112,38474,11,3.5974305376712454,4.387608032276175,7.313402585932815,5.100730220451061,5.500147782390933,7.702062985586016
Tongji,B3,130,11,57733,112,38474,11,5.845875503743773,7.233759071121137,13.347729642387504,7.312472623359088,8.282120261196896,13.541969467906949
Tongji,B4,130,11,57733,112,38474,11,5.871394877997108,7.268247106966794,13.417527882864649,7.337326946393753,8.33316149763606,13.67245782218032
Tongji,B12,130,11,57733,112,38474,11,3.296514053158709,4.07764751259236,6.904843982436819,4.7558557831443276,5.142962132861002,7.331408737802391
Tongji,B13,130,11,57733,112,38474,11,4.934629398881305,5.9623882446602146,10.31282015308398,6.39816025421858,7.1068301597463375,10.871483811212151
Tongji,B14,130,11,57733,112,38474,11,4.722380980355111,5.719463644345686,9.912111891700137,6.080387177187933,6.786620211413297,10.469945078225226
Tongji,B23,130,11,57733,112,38474,11,3.3150830591817266,4.07626917033143,6.80632578486111,4.769588127154093,5.145882816206145,7.205142352173664
Tongji,B24,130,11,57733,112,38474,11,3.251597890695361,3.994623569469663,6.613257996270389,4.6420894148139995,5.0119508286634025,7.005051125919311
Tongji,B34,130,11,57733,112,38474,11,5.182491430640496,6.432542290221812,11.837146379745521,6.565496674224456,7.420283269512481,12.056472759577275
Tongji,B123,130,11,57733,112,38474,11,3.078263676244278,3.8408007654297154,6.4840028683271695,4.495662905802514,4.8614015336837815,6.900883471689735
Tongji,B124,130,11,57733,112,38474,11,3.014289857888975,3.747437765476343,6.286389406551685,4.366981897694398,4.723804858001908,6.69636192372509
Tongji,B134,130,11,57733,112,38474,11,4.362585516463361,5.2968353883715915,9.088463219141559,5.725155681883561,6.339079834231103,9.588029802865407
Tongji,B234,130,11,57733,112,38474,11,3.036414033207318,3.757473039157854,6.2138528101550214,4.38618383812402,4.736974298852726,6.610204115905821
Tongji,B1234,130,11,57733,112,38474,11,2.8508075830539403,3.572640803532292,5.9562594744267106,4.1693369915752445,4.5105194158029684,6.358680098031768
