dataset,group,representation,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share,comparison_type
MATR,B123,absolute_same_config,180,4,150665,1.95356095380336,2.63811356885397,5.442398007968725,0.235365401539813,0.7769889149854731,0.1582428861723625,same_config
MATR,B123,paired,180,4,150665,1.9513851550470225,2.6258493586606333,5.385042910626108,0.2652937799794036,0.7686942461360026,0.1574588072000519,same_config
MATR,B13,absolute_same_config,180,4,150665,2.120825115114247,3.031129328309169,6.474805775950974,0.3564473560706162,0.7527549901288508,0.1882049440424588,same_config
MATR,B13,paired,180,4,150665,2.104127183180302,2.997914441735725,6.377159483769021,0.3863757345102067,0.758224620468946,0.1867349257302468,same_config
MATR,B23,absolute_same_config,180,4,150665,2.111997842046479,2.8119151025285003,5.685926823043836,0.4135074269148281,0.773579208934668,0.1591549477500195,same_config
MATR,B23,paired,180,4,150665,2.1171698751261525,2.813693196599794,5.66284384745882,0.4434358053544187,0.7714074161994264,0.1589743798040677,same_config
MATR,B3,absolute_same_config,180,4,150665,2.573143203275855,3.48344833535315,6.984594035853674,0.3156741082707976,0.7319233587783219,0.1772485434140076,same_config
MATR,B3,paired,180,4,150665,2.571546948804188,3.466125714009769,6.9091264142982185,0.345602486710388,0.7324764765488994,0.1745057387622824,same_config
Tongji,B123,absolute_same_config,130,11,57733,3.1559694024782208,3.9502496750872464,6.721430492255317,2.4531541823015504,0.7988700435296344,0.141866649852655,same_config
Tongji,B123,paired,130,11,57733,3.078263676244278,3.8408007654297154,6.4840028683271695,2.3142671380727653,0.8074277521330804,0.1384001191115751,same_config
Tongji,B13,absolute_same_config,130,11,57733,5.077639516723033,6.106249315922099,10.518131049291656,3.870502007519933,0.744227712345943,0.1384093006089009,same_config
Tongji,B13,paired,130,11,57733,4.934629398881305,5.962388244660215,10.31282015308398,3.7316149632911486,0.7482025659869319,0.138844721041436,same_config
Tongji,B23,absolute_same_config,130,11,57733,3.3679055465534904,4.1703213215426365,7.056095440185708,2.752816565899884,0.8154803996876928,0.1411312528403651,same_config
Tongji,B23,paired,130,11,57733,3.315083059181726,4.07626917033143,6.80632578486111,2.6139295216711,0.8113967065445992,0.1368755048476139,same_config
Tongji,B3,absolute_same_config,130,11,57733,6.0806866292332336,7.468780629092495,13.61440398880442,3.327932754304429,0.81010129136425,0.1410236196437322,same_config
Tongji,B3,paired,130,11,57733,5.845875503743773,7.233759071121137,13.347729642387504,3.189045710075644,0.8175324280707525,0.1417347590974761,same_config
XJTU,B123,absolute_same_config,55,6,13407,2.654307146454421,3.330122226119262,6.320181008716259,0.1135620884914458,0.5864399170580068,0.1935768913231688,same_config
XJTU,B123,paired,55,6,13407,2.6459034911191783,3.306748254191419,6.270075949399074,0.1036464890715829,0.5981524856181802,0.1933846825032604,same_config
XJTU,B13,absolute_same_config,55,6,13407,2.8278148830931937,3.58231059387688,6.888697839017862,0.3554281073641832,0.66811053789215,0.1884387911313279,same_config
XJTU,B13,paired,55,6,13407,2.832528112316986,3.5723409497487197,6.80413726995321,0.3455125079443201,0.6961192716634121,0.1870561491689968,same_config
XJTU,B23,absolute_same_config,55,6,13407,2.910922572069302,3.639594214798708,6.955951116524809,-0.23718396710869,0.6802054139142341,0.1896858769645482,same_config
XJTU,B23,paired,55,6,13407,2.903303976293928,3.624802617055863,6.873810952363878,-0.2470995665285531,0.6809010180859129,0.1900450653509164,same_config
XJTU,B3,absolute_same_config,55,6,13407,2.9348824357555867,3.704588159520204,6.96442136004378,-0.0819743783224112,0.6151528236124504,0.1878417053587807,same_config
XJTU,B3,paired,55,6,13407,2.947970400786032,3.716642581378802,6.96289909150902,-0.0918899777422744,0.6278855102762244,0.1873927844358759,same_config
MATR,B123,absolute_source_selected,180,4,150665,1.9381063009928488,2.598957931878454,5.326543123985598,0.2208899000020121,0.7711161582645129,0.156878962381418,separately_source_selected
MATR,B123,paired,180,4,150665,1.9513851550470225,2.625849358660633,5.385042910626108,0.2652937799794038,0.7686942461360026,0.1574588072000519,separately_source_selected
Tongji,B123,absolute_source_selected,130,11,57733,3.3600113453990548,4.135834165645035,6.996444433862521,2.612548195146491,0.7991762064932284,0.1363508614006598,separately_source_selected
Tongji,B123,paired,130,11,57733,3.078263676244278,3.8408007654297154,6.484002868327168,2.3142671380727653,0.8074277521330806,0.1384001191115752,separately_source_selected
XJTU,B123,absolute_source_selected,55,6,13407,2.6696959125295057,3.3694504061519885,6.412462999386217,0.1464348345500109,0.6102611801152804,0.1959027481126707,separately_source_selected
XJTU,B123,paired,55,6,13407,2.6459034911191783,3.306748254191419,6.270075949399074,0.1036464890715829,0.5981524856181802,0.1933846825032605,separately_source_selected
