dataset,group,representation,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
MATR,B123,absolute_same_config,180,4,150665,1.95356095380336,2.63811356885397,5.442398007968725,0.23536540153981306,0.7769889149854731,0.1582428861723625
MATR,B123,paired,180,4,150665,1.9513851550470225,2.6258493586606333,5.385042910626108,0.2652937799794036,0.7686942461360026,0.1574588072000519
MATR,B13,absolute_same_config,180,4,150665,2.120825115114247,3.031129328309169,6.474805775950974,0.35644735607061623,0.7527549901288508,0.18820494404245883
MATR,B13,paired,180,4,150665,2.104127183180302,2.997914441735725,6.377159483769021,0.3863757345102067,0.758224620468946,0.18673492573024686
MATR,B23,absolute_same_config,180,4,150665,2.111997842046479,2.8119151025285003,5.685926823043836,0.41350742691482817,0.773579208934668,0.15915494775001954
MATR,B23,paired,180,4,150665,2.1171698751261525,2.813693196599794,5.66284384745882,0.4434358053544187,0.7714074161994264,0.1589743798040677
MATR,B3,absolute_same_config,180,4,150665,2.573143203275855,3.48344833535315,6.984594035853674,0.3156741082707976,0.7319233587783219,0.17724854341400761
MATR,B3,paired,180,4,150665,2.5715469488041878,3.466125714009769,6.9091264142982185,0.34560248671038807,0.7324764765488994,0.1745057387622824
Tongji,B123,absolute_same_config,130,11,57733,3.1559694024782208,3.9502496750872464,6.721430492255317,2.4531541823015504,0.7988700435296344,0.14186664985265504
Tongji,B123,paired,130,11,57733,3.078263676244278,3.8408007654297154,6.4840028683271695,2.3142671380727653,0.8074277521330804,0.13840011911157518
Tongji,B13,absolute_same_config,130,11,57733,5.077639516723033,6.106249315922099,10.518131049291656,3.8705020075199332,0.744227712345943,0.13840930060890091
Tongji,B13,paired,130,11,57733,4.934629398881305,5.9623882446602146,10.31282015308398,3.7316149632911486,0.7482025659869319,0.13884472104143605
Tongji,B23,absolute_same_config,130,11,57733,3.3679055465534904,4.1703213215426365,7.056095440185708,2.752816565899884,0.8154803996876928,0.14113125284036512
Tongji,B23,paired,130,11,57733,3.3150830591817266,4.07626917033143,6.80632578486111,2.6139295216711,0.8113967065445992,0.1368755048476139
Tongji,B3,absolute_same_config,130,11,57733,6.0806866292332336,7.468780629092495,13.614403988804419,3.327932754304429,0.81010129136425,0.14102361964373225
Tongji,B3,paired,130,11,57733,5.845875503743773,7.233759071121137,13.347729642387504,3.1890457100756437,0.8175324280707525,0.14173475909747613
XJTU,B123,absolute_same_config,55,6,13407,2.654307146454421,3.330122226119262,6.320181008716259,0.11356208849144589,0.5864399170580068,0.19357689132316883
XJTU,B123,paired,55,6,13407,2.6459034911191783,3.306748254191419,6.270075949399074,0.10364648907158298,0.5981524856181802,0.19338468250326046
XJTU,B13,absolute_same_config,55,6,13407,2.8278148830931937,3.58231059387688,6.888697839017862,0.35542810736418323,0.66811053789215,0.18843879113132792
XJTU,B13,paired,55,6,13407,2.832528112316986,3.5723409497487193,6.80413726995321,0.34551250794432015,0.6961192716634121,0.18705614916899682
XJTU,B23,absolute_same_config,55,6,13407,2.910922572069302,3.6395942147987075,6.955951116524809,-0.23718396710869008,0.6802054139142341,0.1896858769645482
XJTU,B23,paired,55,6,13407,2.903303976293928,3.624802617055863,6.873810952363878,-0.24709956652855314,0.6809010180859129,0.1900450653509164
XJTU,B3,absolute_same_config,55,6,13407,2.9348824357555867,3.704588159520204,6.96442136004378,-0.08197437832241128,0.6151528236124504,0.18784170535878075
XJTU,B3,paired,55,6,13407,2.947970400786032,3.7166425813788027,6.96289909150902,-0.0918899777422744,0.6278855102762244,0.1873927844358759
