dataset,group,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
MATR,B,180,4,150665,2.6862495902500902,3.621184371582492,7.218171769850302,0.3366368516723986,0.7414419338340545,0.176499090868598
MATR,B1,180,4,150665,2.1837393489517964,3.1234037930305707,6.684061301024408,0.3979078168970034,0.7635824928094477,0.18734488150992695
MATR,B12,180,4,150665,1.9853111601217919,2.6865948978888983,5.569067771479617,0.2677152935029073,0.7750995752582878,0.15837108826007704
MATR,B123__wave_absolute_pca8__0.25,180,4,150665,1.9588789841264844,2.638978764521852,5.438119455834487,0.2443025967524598,0.7728930580317585,0.1575170077672867
MATR,B123__wave_absolute_pca8__0.5,180,4,150665,1.9381063009928488,2.598957931878454,5.326543123985598,0.22088990000201214,0.7711161582645129,0.15687896238141807
MATR,B123__wave_absolute_pca8__0.75,180,4,150665,1.9224553516021732,2.566858633324039,5.2294702164305065,0.1974772032515647,0.7688040472939359,0.15640067361044707
MATR,B123__wave_absolute_pca8__1,180,4,150665,1.911655198065966,2.542519155741239,5.145773137527758,0.1740645065011172,0.7656657835835851,0.15640310231821977
MATR,B123__wave_absolute_pls4__0.25,180,4,150665,1.9862189984001541,2.676319963424908,5.502093189196601,0.21797910459686426,0.776437219370553,0.1576258122645625
MATR,B123__wave_absolute_pls4__0.5,180,4,150665,2.0198744790450567,2.7178360718548618,5.573910943668551,0.1682429156908214,0.7743844326559439,0.15954988596216793
MATR,B123__wave_absolute_pls4__0.75,180,4,150665,2.0760597996465875,2.806666444505732,5.777403412825511,0.11850672678477862,0.7741822700379359,0.16391102818721875
MATR,B123__wave_absolute_pls4__1,180,4,150665,2.1546588758050893,2.9300230780668985,6.067153062637881,0.06877053787873569,0.7692006505152327,0.16806219752517712
MATR,B123__wave_pair_pca8__0.25,180,4,150665,1.9665701635620556,2.653266790973693,5.471349750632287,0.2665045367411556,0.7731363106292592,0.15750950357752744
MATR,B123__wave_pair_pca8__0.5,180,4,150665,1.9513851550470223,2.625849358660633,5.385042910626108,0.26529377997940384,0.7686942461360026,0.15745880720005193
MATR,B123__wave_pair_pca8__0.75,180,4,150665,1.939985804863433,2.604919550990465,5.31167404068389,0.26408302321765226,0.7622766721494406,0.15799933250783504
MATR,B123__wave_pair_pca8__1,180,4,150665,1.9322481071921687,2.590544328947176,5.261648066023774,0.26287226645590056,0.7552415722945856,0.15914374421867275
MATR,B123__wave_pair_pls4__0.25,180,4,150665,2.0014792427471333,2.7011966072884377,5.586122761152099,0.2825398386689179,0.7785975903276317,0.15748686289658256
MATR,B123__wave_pair_pls4__0.5,180,4,150665,2.019706480588113,2.72029426004786,5.613394635295176,0.29736438383492836,0.7785893485340339,0.15730836547169008
MATR,B123__wave_pair_pls4__0.75,180,4,150665,2.0396920870602404,2.7435282942693813,5.651044394442904,0.3121889290009388,0.7758389452267633,0.15771256696303645
MATR,B123__wave_pair_pls4__1,180,4,150665,2.0614854237009,2.770541533328153,5.699216875891606,0.3270134741669494,0.7716729070188452,0.15857888470192988
MATR,B13__wave_absolute_pca8__0.25,180,4,150665,2.147801081512452,3.063884757082179,6.533702689580698,0.38426188952922724,0.7606078779956086,0.18639168852762783
