dataset,group,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
MATR,B1234,180,4,150665,1.919921667670538,2.577304604882687,5.258278574056611,0.2610555208471246,0.7695831437367175,0.1564958768495642
MATR,B1234_init_0.5,180,4,150665,1.9199216558224512,2.5773045533590055,5.258278416460671,0.26105555775316824,0.7695831238393719,0.15649587058863398
MATR,B1234_init_0.8,180,4,150665,1.9199215891569257,2.5773046319921535,5.258278306603656,0.26105526889301545,0.7695833957161821,0.1564958814242129
MATR,B1234_init_1.25,180,4,150665,1.9199216134514911,2.5773045098508813,5.258278365309671,0.2610555055564108,0.7695831169622962,0.1564958731617275
MATR,B1234_init_2.0,180,4,150665,1.919921644456022,2.577304532688224,5.2582783443613215,0.2610555637185207,0.76958312250525,0.15649586931329554
Tongji,B1234,130,11,57733,2.8508075830539403,3.572640803532292,5.9562594744267106,2.234539005739417,0.8019951894477262,0.13960845671679015
Tongji,B1234_init_0.5,130,11,57733,2.8508045830595967,3.572637398464664,5.9562548462933895,2.234535306922921,0.8019949004704028,0.1396084963782803
Tongji,B1234_init_0.8,130,11,57733,2.850807527154706,3.5726403194408465,5.956256880733167,2.234539466720133,0.8019953218460864,0.1396084001099225
Tongji,B1234_init_1.25,130,11,57733,2.8508058012139452,3.5726388981958066,5.956257001324755,2.2345384152179184,0.8019949751190537,0.13960849485644086
Tongji,B1234_init_2.0,130,11,57733,2.850804444779298,3.5726372485280637,5.95625462774689,2.234535042675701,0.8019948744483159,0.1396084988357558
XJTU,B1234,55,6,13407,2.637574820161472,3.2840518785382407,6.206306310275444,0.08648546918495496,0.5975486085641938,0.19221532918233789
XJTU,B1234_init_0.5,55,6,13407,2.6375745041687533,3.2840515724724333,6.206305956802474,0.08648571583141496,0.5975485828877406,0.19221533667092594
XJTU,B1234_init_0.8,55,6,13407,2.6375744754346164,3.2840515426881502,6.206305899175912,0.08648579506899856,0.5975485807383892,0.19221533711518854
XJTU,B1234_init_1.25,55,6,13407,2.637574499061507,3.2840515710735336,6.206305958111984,0.08648574773457433,0.5975485881858413,0.1922153368671833
XJTU,B1234_init_2.0,55,6,13407,2.6375745263836934,3.2840515936893087,6.206305994144657,0.08648576130928813,0.5975485835734143,0.19221533484849496
