dataset,module,metric,mean_over_8_parents_gain_pp,full_model_removal_loss_pp
XJTU,M1,mae,0.1923919950170514,0.25373812105422866
XJTU,M1,rmse,0.23384994824341682,0.3145122771002109
XJTU,M1,p95_ae,0.3830688653746799,0.5937264636117296
XJTU,M2,mae,0.1405641415850194,0.1638173788679893
XJTU,M2,rmse,0.21374419277153295,0.23801926464466128
XJTU,M2,p95_ae,0.39818992798077346,0.47886610635681937
XJTU,M3,mae,0.04609427683107725,0.0026970233449552516
XJTU,M3,rmse,0.08915647423427447,0.035756861278867014
XJTU,M3,p95_ae,0.23320196461470655,0.0913139352099428
XJTU,M4,mae,0.016643236944352657,0.008328670957705953
XJTU,M4,rmse,0.032719752218627274,0.02269637565317817
XJTU,M4,p95_ae,0.0862564737758702,0.0637696391236302
MATR,M1,mae,0.3204224151870807,0.15928148671449938
MATR,M1,rmse,0.3307940196023265,0.17470487252552847
MATR,M1,p95_ae,0.40546596814746283,0.2435641358552596
MATR,M2,mae,0.3233750705679359,0.14359547181947452
MATR,M2,rmse,0.5404312409585548,0.3598059714388966
MATR,M2,p95_ae,1.1764164126981513,0.9713529268570955
MATR,M3,mae,0.06340524586979532,0.026757702421678076
MATR,M3,rmse,0.09749781102837057,0.050106456682568634
MATR,M3,p95_ae,0.23630724251646207,0.15595545871020988
MATR,M4,mae,0.04776772668084192,0.03146348737648452
MATR,M4,rmse,0.06887383959867427,0.04854475377794598
MATR,M4,p95_ae,0.1579984214452459,0.12676433656949637
Tongji,M1,mae,0.6402701300280056,0.18560645015337718
Tongji,M1,rmse,0.8340867920702935,0.18483223562556272
Tongji,M1,p95_ae,1.8130872551377069,0.2575933357283109
Tongji,M2,mae,2.19207159684882,1.5117779334094203
Tongji,M2,rmse,2.6485416690013177,1.7241945848392999
Tongji,M2,p95_ae,5.237449396157516,3.1322037447148485
Tongji,M3,mae,0.4006342192701584,0.16348227483503486
Tongji,M3,rmse,0.4689896403612647,0.17479696194405037
Tongji,M3,p95_ae,0.8703830403658014,0.3301299321249731
Tongji,M4,mae,0.47918122704878996,0.22745609319033733
Tongji,M4,rmse,0.5648509316822667,0.26815996189742375
Tongji,M4,p95_ae,1.0507808581840266,0.5277433939004572
